kappa, group speed, phase speed
953,0.400985,0.290891
954,0.401209,0.291006
955,0.401433,0.291122
956,0.401657,0.291237
957,0.401881,0.291353
958,0.402105,0.291468
959,0.402329,0.291584
960,0.402552,0.291699
961,0.402776,0.291815
962,0.402999,0.29193
963,0.403222,0.292045
964,0.403445,0.292161
965,0.403668,0.292276
966,0.403891,0.292392
967,0.404114,0.292507
968,0.404336,0.292623
969,0.404559,0.292738
970,0.404781,0.292853
971,0.405003,0.292969
972,0.405225,0.293084
973,0.405447,0.293199
974,0.405669,0.293315
975,0.405891,0.29343
976,0.406112,0.293546
977,0.406334,0.293661
978,0.406555,0.293776
979,0.406776,0.293892
980,0.406997,0.294007
981,0.407218,0.294122
982,0.407439,0.294237
983,0.40766,0.294353
984,0.40788,0.294468
985,0.408101,0.294583
986,0.408321,0.294698
987,0.408541,0.294814
988,0.408761,0.294929
989,0.408981,0.295044
990,0.409201,0.295159
991,0.409421,0.295274
992,0.40964,0.29539
993,0.40986,0.295505
994,0.410079,0.29562
995,0.410298,0.295735
996,0.410517,0.29585
997,0.410736,0.295965
998,0.410955,0.29608
999,0.411174,0.296196
